scope_category,vendor_a_idx,vendor_b_idx,method,confidence
Electrics,82.0,,UNMATCHED,UNMATCHED
Electrics,83.0,,UNMATCHED,UNMATCHED
Electrics,84.0,,UNMATCHED,UNMATCHED
Electrics,85.0,,UNMATCHED,UNMATCHED
Electrics,86.0,,UNMATCHED,UNMATCHED
Electrics,87.0,,UNMATCHED,UNMATCHED
Electrics,88.0,,UNMATCHED,UNMATCHED
Electrics,89.0,,UNMATCHED,UNMATCHED
Electrics,90.0,,UNMATCHED,UNMATCHED
Electrics,91.0,,UNMATCHED,UNMATCHED
Electrics,92.0,,UNMATCHED,UNMATCHED
Electrics,93.0,,UNMATCHED,UNMATCHED
Electrics,94.0,,UNMATCHED,UNMATCHED
Electrics,96.0,,UNMATCHED,UNMATCHED
Electrics,98.0,,UNMATCHED,UNMATCHED
Electrics,99.0,,UNMATCHED,UNMATCHED
Electrics,100.0,,UNMATCHED,UNMATCHED
Electrics,101.0,,UNMATCHED,UNMATCHED
Electrics,102.0,,UNMATCHED,UNMATCHED
Electrics,103.0,,UNMATCHED,UNMATCHED
Electrics,104.0,,UNMATCHED,UNMATCHED
Electrics,105.0,,UNMATCHED,UNMATCHED
Electrics,106.0,,UNMATCHED,UNMATCHED
Electrics,107.0,,UNMATCHED,UNMATCHED
Electrics,108.0,,UNMATCHED,UNMATCHED
Electrics,109.0,,UNMATCHED,UNMATCHED
Electrics,110.0,,UNMATCHED,UNMATCHED
Electrics,111.0,,UNMATCHED,UNMATCHED
Electrics,112.0,,UNMATCHED,UNMATCHED
Electrics,113.0,,UNMATCHED,UNMATCHED
Electrics,114.0,,UNMATCHED,UNMATCHED
Electrics,115.0,,UNMATCHED,UNMATCHED
Electrics,116.0,,UNMATCHED,UNMATCHED
Electrics,117.0,,UNMATCHED,UNMATCHED
Electrics,118.0,,UNMATCHED,UNMATCHED
Electrics,119.0,,UNMATCHED,UNMATCHED
Electrics,120.0,,UNMATCHED,UNMATCHED
Electrics,121.0,,UNMATCHED,UNMATCHED
Electrics,122.0,,UNMATCHED,UNMATCHED
Electrics,123.0,,UNMATCHED,UNMATCHED
Electrics,124.0,,UNMATCHED,UNMATCHED
Electrics,126.0,,UNMATCHED,UNMATCHED
Electrics,128.0,,UNMATCHED,UNMATCHED
Electrics,129.0,,UNMATCHED,UNMATCHED
Electrics,130.0,,UNMATCHED,UNMATCHED
Electrics,131.0,,UNMATCHED,UNMATCHED
Electrics,132.0,,UNMATCHED,UNMATCHED
Electrics,133.0,,UNMATCHED,UNMATCHED
Electrics,134.0,,UNMATCHED,UNMATCHED
Electrics,135.0,,UNMATCHED,UNMATCHED
Electrics,136.0,,UNMATCHED,UNMATCHED
Electrics,137.0,,UNMATCHED,UNMATCHED
Electrics,138.0,,UNMATCHED,UNMATCHED
Electrics,139.0,,UNMATCHED,UNMATCHED
Electrics,140.0,,UNMATCHED,UNMATCHED
Electrics,141.0,,UNMATCHED,UNMATCHED
Electrics,142.0,,UNMATCHED,UNMATCHED
Electrics,143.0,,UNMATCHED,UNMATCHED
Electrics,144.0,,UNMATCHED,UNMATCHED
Electrics,145.0,,UNMATCHED,UNMATCHED
Electrics,146.0,,UNMATCHED,UNMATCHED
Electrics,147.0,,UNMATCHED,UNMATCHED
Electrics,148.0,,UNMATCHED,UNMATCHED
Electrics,149.0,,UNMATCHED,UNMATCHED
Electrics,150.0,,UNMATCHED,UNMATCHED
Electrics,151.0,,UNMATCHED,UNMATCHED
Electrics,152.0,,UNMATCHED,UNMATCHED
