scope_category,vendor_a_sheet,vendor_b_sheet,vendor_a_idx,vendor_b_idx,method,confidence,score
Steelwork,Steelwork,Steelwork,70.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,71.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,72.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,73.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,74.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,75.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,76.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,77.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,78.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,79.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,80.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,81.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,82.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,83.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,84.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,85.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,86.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,87.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,88.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,89.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,90.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,91.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,92.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,93.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,94.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,95.0,,UNMATCHED,UNMATCHED,0.0
