item_id,Scope - Electrics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,,,,,item_id_norm,Scope - Electrics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,nan_norm,scope_category,vendor_id
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,B
1.,,,,,,,,,,,,,,,,,1.,,,,,,,,,Electrics,B
1.1,Complete standardised power feed-in cabinet for conveyors (+H011_FT),0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.1,complete standardised power feed-in cabinet for conveyors (+h011_ft),,pcs.,,,,,,Electrics,B
1.2,Complete standardised PLC-cabinet for conveyors (+H101),0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.2,complete standardised plc-cabinet for conveyors (+h101),,pcs.,,,,,,Electrics,B
1.3,Cooling device for door of control cabinet,0.0,0.0,0.0,,4.0,pcs.,0.0,,,,,,,,,1.3,cooling device for door of control cabinet,,pcs.,,,,,,Electrics,B
1.4,Power supply cabling incl. measurement protocol,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.4,power supply cabling incl. measurement protocol,,pcs.,,,,,,Electrics,B
1.5,HTS_; decentral drive cabinet (+H121),0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.5,hts_; decentral drive cabinet (+h121),,pcs.,,,,,,Electrics,B
1.6,Transformer 480V to 400V + Disconnect,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.6,transformer 480v to 400v + disconnect,,pcs.,,,,,,Electrics,B
1.7,"Control cabinet 600 x 2000 x 500, 
empty cabinet with basic equipment",0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.7,"control cabinet 600 x 2000 x 500, 
empty cabinet with basic equipment",,pcs.,,,,,,Electrics,B
1.8,BR_; Unit control panel with VISU,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.8,br_; unit control panel with visu,,pcs.,,,,,,Electrics,B
1.9,BS_; unit control station with display,0.0,0.0,0.0,,4.0,pcs.,0.0,,,,,,,,,1.9,bs_; unit control station with display,,pcs.,,,,,,Electrics,B
1.10,Additional visualization image,0.0,0.0,0.0,,8.0,pcs.,0.0,,,,,,,,,1.10,additional visualization image,,pcs.,,,,,,Electrics,B
1.11,BAH; Operation stop with external visualization (blue),0.0,0.0,0.0,,4.0,pcs.,0.0,,,,,,,,,1.11,bah; operation stop with external visualization (blue),,pcs.,,,,,,Electrics,B
1.12,Departure control at end of line,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.12,departure control at end of line,,pcs.,,,,,,Electrics,B
1.13,Flashlight,0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.13,flashlight,,pcs.,,,,,,Electrics,B
1.14,External indication red/green,0.0,0.0,0.0,,6.0,pcs.,0.0,,,,,,,,,1.14,external indication red/green,,pcs.,,,,,,Electrics,B
1.15,Beacon light,0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.15,beacon light,,pcs.,,,,,,Electrics,B
1.16,Signal horn,0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.16,signal horn,,pcs.,,,,,,Electrics,B
1.17,WAS; maintenance switch,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.17,was; maintenance switch,,pcs.,,,,,,Electrics,B
1.18,Laser scanner area protection,0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.18,laser scanner area protection,,pcs.,,,,,,Electrics,B
