item_id,Scope - Electrics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,,,,,item_id_norm,Scope - Electrics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,nan_norm,scope_category,vendor_id
1.35,HTS; Motorized scissor lift table 2S with belt,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.35,hts; motorized scissor lift table 2s with belt,,pcs.,,,,,,Electrics,A
1.36,"HTM; Motorized 2S lifting table with HTR, lifting table roller conveyor",0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.36,"htm; motorized 2s lifting table with htr, lifting table roller conveyor",,pcs.,,,,,,Electrics,A
1.37,1set Vibration Sensors LUMP SUM Mechanic/Electric,0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.37,1set vibration sensors lump sum mechanic/electric,,pcs.,,,,,,Electrics,A
1.38,Electrical installation on-site total RfQ,0.0,0.0,0.0,,1.0,pcs.,0.0,Dismanteling Control Cabinets and Cable Trays,,,,,,,,1.38,electrical installation on-site total rfq,,pcs.,dismanteling control cabinets and cable trays,,,,,Electrics,A
,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
1.,Total Price:,,,,,,,0.0,,,,,,,,,1.,total price:,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
2.,,,,,,,,,,,,,,,,,2.,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
2.,"Total Price: 
",,,,,,,0.0,,,,,,,,,2.,total price:,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
3.,,,,,,,,,,,,,,,,,3.,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
3.,"Total Price: 
",,,,,,,0.0,,,,,,,,,3.,total price:,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
4.,,,,,,,,,,,,,,,,,4.,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
