item_id,Scope - Overall,unit_price_hardware,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Overall_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
,,,,,,,,,,,,,,,,,,,Overall,B
