item_id,Scope - Steelwork,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Steelwork_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
,,,,,,,,,,,,,,,,,,,,,Steelwork,B
