item_id,Scope - Mechanics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Mechanics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
2.18,,,,0.0,,,,0.0,,,,,2.18,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
2.,"Total Price: 
",,,,,,,0.0,,,,,2.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
3.,,,,,,,,,,,,,3.,,,,,,,,Mechanics,A
3.1,,,,0.0,,,,0.0,,,,,3.1,,,,,,,,Mechanics,A
3.2,,,,0.0,,,,0.0,,,,,3.2,,,,,,,,Mechanics,A
3.3,,,,0.0,,,,0.0,,,,,3.3,,,,,,,,Mechanics,A
3.4,,,,0.0,,,,0.0,,,,,3.4,,,,,,,,Mechanics,A
3.5,,,,0.0,,,,0.0,,,,,3.5,,,,,,,,Mechanics,A
3.6,,,,0.0,,,,0.0,,,,,3.6,,,,,,,,Mechanics,A
3.7,,,,0.0,,,,0.0,,,,,3.7,,,,,,,,Mechanics,A
3.8,,,,0.0,,,,0.0,,,,,3.8,,,,,,,,Mechanics,A
3.9,,,,0.0,,,,0.0,,,,,3.9,,,,,,,,Mechanics,A
3.10,,,,0.0,,,,0.0,,,,,3.10,,,,,,,,Mechanics,A
3.11,,,,0.0,,,,0.0,,,,,3.11,,,,,,,,Mechanics,A
3.12,,,,0.0,,,,0.0,,,,,3.12,,,,,,,,Mechanics,A
3.13,,,,0.0,,,,0.0,,,,,3.13,,,,,,,,Mechanics,A
3.14,,,,0.0,,,,0.0,,,,,3.14,,,,,,,,Mechanics,A
3.15,,,,0.0,,,,0.0,,,,,3.15,,,,,,,,Mechanics,A
3.16,,,,0.0,,,,0.0,,,,,3.16,,,,,,,,Mechanics,A
3.17,,,,0.0,,,,0.0,,,,,3.17,,,,,,,,Mechanics,A
3.18,,,,0.0,,,,0.0,,,,,3.18,,,,,,,,Mechanics,A
3.19,,,,0.0,,,,0.0,,,,,3.19,,,,,,,,Mechanics,A
3.20,,,,0.0,,,,0.0,,,,,3.20,,,,,,,,Mechanics,A
3.21,,,,0.0,,,,0.0,,,,,3.21,,,,,,,,Mechanics,A
3.22,,,,0.0,,,,0.0,,,,,3.22,,,,,,,,Mechanics,A
3.23,,,,0.0,,,,0.0,,,,,3.23,,,,,,,,Mechanics,A
3.24,,,,0.0,,,,0.0,,,,,3.24,,,,,,,,Mechanics,A
3.25,,,,0.0,,,,0.0,,,,,3.25,,,,,,,,Mechanics,A
3.24,,,,0.0,,,,0.0,,,,,3.24,,,,,,,,Mechanics,A
3.25,,,,0.0,,,,0.0,,,,,3.25,,,,,,,,Mechanics,A
3.26,,,,0.0,,,,0.0,,,,,3.26,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
