item_id,Scope - Mechanics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Mechanics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
2.17,,,,0.0,,,,0.0,,,,,2.17,,,,,,,,ATS Mechanics v2,B
2.18,,,,0.0,,,,0.0,,,,,2.18,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
2.,"Total Price: 
",,,,,,,0.0,,,,,2.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
3.,,,,,,,,,,,,,3.,,,,,,,,ATS Mechanics v2,B
3.1,,,,0.0,,,,0.0,,,,,3.1,,,,,,,,ATS Mechanics v2,B
3.2,,,,0.0,,,,0.0,,,,,3.2,,,,,,,,ATS Mechanics v2,B
3.3,,,,0.0,,,,0.0,,,,,3.3,,,,,,,,ATS Mechanics v2,B
3.4,,,,0.0,,,,0.0,,,,,3.4,,,,,,,,ATS Mechanics v2,B
3.5,,,,0.0,,,,0.0,,,,,3.5,,,,,,,,ATS Mechanics v2,B
3.6,,,,0.0,,,,0.0,,,,,3.6,,,,,,,,ATS Mechanics v2,B
3.7,,,,0.0,,,,0.0,,,,,3.7,,,,,,,,ATS Mechanics v2,B
3.8,,,,0.0,,,,0.0,,,,,3.8,,,,,,,,ATS Mechanics v2,B
3.9,,,,0.0,,,,0.0,,,,,3.9,,,,,,,,ATS Mechanics v2,B
3.10,,,,0.0,,,,0.0,,,,,3.10,,,,,,,,ATS Mechanics v2,B
3.11,,,,0.0,,,,0.0,,,,,3.11,,,,,,,,ATS Mechanics v2,B
3.12,,,,0.0,,,,0.0,,,,,3.12,,,,,,,,ATS Mechanics v2,B
3.13,,,,0.0,,,,0.0,,,,,3.13,,,,,,,,ATS Mechanics v2,B
3.14,,,,0.0,,,,0.0,,,,,3.14,,,,,,,,ATS Mechanics v2,B
3.15,,,,0.0,,,,0.0,,,,,3.15,,,,,,,,ATS Mechanics v2,B
3.16,,,,0.0,,,,0.0,,,,,3.16,,,,,,,,ATS Mechanics v2,B
3.17,,,,0.0,,,,0.0,,,,,3.17,,,,,,,,ATS Mechanics v2,B
3.18,,,,0.0,,,,0.0,,,,,3.18,,,,,,,,ATS Mechanics v2,B
3.19,,,,0.0,,,,0.0,,,,,3.19,,,,,,,,ATS Mechanics v2,B
3.20,,,,0.0,,,,0.0,,,,,3.20,,,,,,,,ATS Mechanics v2,B
3.21,,,,0.0,,,,0.0,,,,,3.21,,,,,,,,ATS Mechanics v2,B
3.22,,,,0.0,,,,0.0,,,,,3.22,,,,,,,,ATS Mechanics v2,B
3.23,,,,0.0,,,,0.0,,,,,3.23,,,,,,,,ATS Mechanics v2,B
3.24,,,,0.0,,,,0.0,,,,,3.24,,,,,,,,ATS Mechanics v2,B
3.25,,,,0.0,,,,0.0,,,,,3.25,,,,,,,,ATS Mechanics v2,B
3.24,,,,0.0,,,,0.0,,,,,3.24,,,,,,,,ATS Mechanics v2,B
3.25,,,,0.0,,,,0.0,,,,,3.25,,,,,,,,ATS Mechanics v2,B
3.26,,,,0.0,,,,0.0,,,,,3.26,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
3.,"Total Price: 
",,,,,,,0.0,,,,,3.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
4.,,,,,,,,,,,,,4.,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
